seed,comm
0.0,0.009671245313325215
0.0,0.009325337069578844
0.02,0.01019174446874168
0.0,0.010196109241533432
0.03,0.01017974134356436
0.0,0.009615594460230373
0.0,0.01070897004456433
0.01,0.009621050426220063
0.0,0.00789369159388408
0.0,0.0014294630892988866
0.02,0.010679507828220003
0.03,0.00990694304407984
0.0,0.005877166564094506
0.0,0.008408734783310855
0.01,0.010403435949141667
0.0,0.010283404697368478
0.0,0.010181923729960237
0.0,0.010148096740824156
0.02,0.010264854413003531
0.03,0.009992056113519011
0.01,0.009917854976059222
0.01,0.00900343507618711
0.0,0.010061892478187048
0.01,0.01066313993025093
0.0,0.010490731404976713
0.01,0.010120816910875704
0.03,0.009616685653428311
0.02,0.010239756969450954
0.0,0.009595952982667487
0.01,0.009563217186729344
0.0,9.820738781442732e-06
0.0,0.0005063136438432697
0.03,0.009247862352525239
0.01,0.010579118054009698
0.01,0.009841471452203555
0.02,0.009624324005813877
0.01,0.007234610902329479
0.0,0.004231647221603879
0.02,0.010615127429541656
0.0,0.008903045301976806
0.03,0.010578026860811761
0.0,3.1644602740204356e-05
0.02,0.009898213498496336
0.01,0.008805929107360316
0.01,0.009520660652009759
0.0,0.00934934331993348
0.02,0.009780364633119022
0.0,0.0006819957487113009
0.04,0.007505226815418123
0.01,0.0075161387473975045
0.01,0.008771010925026298
0.01,0.004783790979760548
0.0,0.00142182473691332
0.0,0.00017131733207627876
0.02,0.009797823724286033
0.0,0.009726896166420057
0.0,0.009870933668547884
0.01,0.00908309217963659
0.02,0.008602967172543833
0.01,0.010725337942533402
0.0,0.008978337632634533
0.0,0.009120192748366484
0.0,0.008091197562710872
0.02,0.0071560449920779375
0.0,0.002725800608449327
0.03,0.009553396447947901
0.02,0.009785820599108713
0.0,4.3647727917523256e-06
0.0,0.009996420886310763
0.01,0.00822977909884901
0.0,0.009797823724286033
0.0,0.007498679656230495
0.0,0.010133911229250961
0.0,0.009362437638308739
0.0,0.01107342857267565
0.01,0.009241315193337611
0.0,0.00022696818517112092
0.01,0.009877480827735513
0.01,0.010195018048335494
0.0,0.009089639338824217
0.01,0.003925021932983278
0.01,0.00899143195100979
0.01,0.008979428825832471
0.0,4.583011431339942e-05
0.0,5.892443268865639e-05
0.0,0.002540297764799853
0.0,6.43803986783468e-05
0.0,0.002497741230080268
0.01,0.010251760094628274
0.0,0.008168672279764477
0.0,0.0006067034180535732
0.0,0.00025424801511957296
0.0,0.009739990484795314
0.01,0.008575687342595381
0.0,0.009068906668063394
0.0,0.006930168000104754
0.01,0.009602500141855116
0.0,0.0032932210713771293
0.02,0.008666256378024243
0.0,5.892443268865639e-05
0.0,0.010267036799399408
0.01,0.010275766344982912
0.0,0.009703981109263357
0.0,2.4006250354637788e-05
0.01,0.009836015486213864
0.0,0.00026079517430720146
0.0,0.010252851287826213
0.01,0.010558385383248875
0.0,0.010216841912294255
0.02,0.007308812039789269
0.0,0.0002968045498391581
0.01,0.0015855037166040322
0.0,0.00026734233349482995
0.0,3.4918182334018604e-05
0.0,4.3647727917523256e-06
0.02,0.009314425137599463
0.0,0.0001516758545133933
0.0,1.527670477113314e-05
0.01,0.009858930543370566
0.0,7.63835238556657e-06
0.0,0.0005696028493236784
0.0,6.765397827216104e-05
0.0,0.0007692912045463474
0.01,0.008188313757327363
0.0,2.291505715669971e-05
0.0,0.0005685116561257404
0.0,0.0007212787038370717
0.0,0.000362276141715443
0.0,2.509744355257587e-05
0.0,0.0007529233065772761
0.0,0.0003000781294329724
0.0,1.636789796907122e-05
0.0,0.00020732670760823546
0.0,0.0005270463146040933
0.0,0.00010366335380411773
0.0,0.00014185511573195058
0.01,0.00023024176476493517
0.0,0.0017349971847215493
0.0,0.0009220582522576787
0.0,8.511306943917034e-05
0.0,5.019488710515174e-05
0.0,2.291505715669971e-05
0.01,0.0097825470195149
0.0,0.00037100568729894767
0.0,0.0020448960529359642
0.0,9.820738781442732e-06
0.0,0.000684178135107177
0.0,0.00034699943694430985
0.0,3.710056872989476e-05
0.0,0.0005521437581566691
0.0,0.0002651599470989538
0.0,0.0018615755956823668
0.0,7.63835238556657e-06
0.0,1.855028436494738e-05
0.0,0.0006394392139917156
0.0,0.00011784886537731278
0.0,1.0911931979380813e-05
0.0,0.0005783323949071831
0.0,0.0005870619404906878
0.01,0.0013607179178287874
0.0,0.0005597821105422357
0.0,0.003177554592395693
0.0,8.729545583504651e-06
0.0,0.00030553409542266276
0.0,1.7459091167009302e-05
0.0,5.4559659896904065e-05
0.0,5.019488710515174e-05
0.0,0.0003098988682144151
0.0,1.527670477113314e-05
0.0,6.001562588659447e-05
0.0,0.00017895568446184534
0.0,0.0001680437524824645
0.0,5.674204629278023e-05
0.0,9.820738781442732e-05
0.0,2.291505715669971e-05
0.0,3.273579593814244e-06
0.0,3.273579593814244e-06
0.0,2.1823863958761626e-05
0.0,4.8012500709275576e-05
0.0,4.69213075113375e-05
0.0,0.0001462198885237029
0.0,0.0002389713103484398
0.0,7.63835238556657e-06
0.0,4.3647727917523256e-06
0.0,6.001562588659447e-05
0.0,3.055340954226628e-05
0.0,8.729545583504651e-06
0.0,1.7459091167009302e-05
0.0,0.0004266565403937898
0.0,0.00025424801511957296
0.0,4.037414832370901e-05
0.0,0.00041901818800822325
0.0,1.9641477562885464e-05
0.0,7.201875106391337e-05
0.0,3.273579593814244e-06
0.0,0.0007016372262741863
0.0,8.729545583504651e-06
0.0,6.983636466803721e-05
0.0,5.4559659896904065e-06
0.0,0.0004997664846556413
0.0,0.0001822292640556596
0.0,2.0732670760823547e-05
0.0,4.910369390721366e-05
0.01,0.0002880750042556535
0.0,0.00010148096740824157
0.0,9.3842615022675e-05
0.0,0.00028371023146390117
0.0,0.0002706159130886442
0.0,6.983636466803721e-05
0.0,0.00014731108172164097
0.0,0.00044084205196698485
0.0,4.8012500709275576e-05
0.0,0.00012985199055463167
0.0,0.0003862823920700808
0.0,5.1286080303089824e-05
0.0,6.547159187628488e-06
0.0,1.636789796907122e-05
0.0,2.0732670760823547e-05
0.0,0.00021387386679586393
0.0,1.4185511573195058e-05
0.0,5.892443268865639e-05
0.0,2.0732670760823547e-05
0.0,0.0001276696041587555
0.0,0.0003229931865896721
0.0,7.63835238556657e-06
0.0,2.1823863958761628e-06
0.0,1.0911931979380813e-05
0.0,3.273579593814244e-05
0.0,3.273579593814244e-06
0.0,0.0006077946112515113
0.0,2.1823863958761628e-06
0.0,5.565085309484215e-05
0.0,5.4559659896904065e-06
0.0,0.00016149659329483604
0.0,0.00027716307227627267
0.0,4.69213075113375e-05
0.0,3.273579593814244e-06
0.0,6.43803986783468e-05
0.0,6.001562588659447e-05
0.0,1.855028436494738e-05
0.0,5.783323949071831e-05
0.0,0.00034154347095461947
0.0,0.00017677329806596917
0.0,0.00026952471989070606
0.0,2.1823863958761628e-06
0.0,8.729545583504651e-06
0.0,1.636789796907122e-05
0.0,0.00042774773359172786
0.0,0.00034809063014224796
0.0,0.0007561968861710904
0.0,0.0006361656343979015
0.0,0.00025315682192163485
0.0,0.0005172255758226506
0.0,2.291505715669971e-05
0.0,3.600937553195669e-05
0.0,6.219801228247063e-05
0.0,0.0002051443212123593
0.0,4.8012500709275576e-05
0.0,0.0002226034123793686
0.0,7.63835238556657e-06
0.0,8.729545583504651e-06
0.0,0.00011239289938762238
0.0,0.00019532358243091655
0.0,6.547159187628488e-06
0.0,5.4559659896904065e-06
0.0,6.983636466803721e-05
0.0,2.1823863958761628e-06
0.0,5.4559659896904065e-06
0.0,6.547159187628488e-06
0.0,2.1823863958761626e-05
0.0,8.729545583504651e-06
0.0,0.0003786440396845142
0.0,1.636789796907122e-05
